Date,Close
24-12-2018,10.439
26-12-2018,11.081
27-12-2018,11.396
28-12-2018,11.445
31-12-2018,11.606
2-1-2019,11.616
3-1-2019,10.956
4-1-2019,11.792
7-1-2019,12.457
8-1-2019,12.805
9-1-2019,12.88
10-1-2019,12.967
11-1-2019,12.73
14-1-2019,12.849
15-1-2019,13.041
16-1-2019,13.051
17-1-2019,13.318
18-1-2019,13.899
22-1-2019,13.402
23-1-2019,13.384
24-1-2019,13.504
25-1-2019,13.778
28-1-2019,13.569
29-1-2019,13.456
30-1-2019,14.005
31-1-2019,14.268
1-2-2019,14.526
4-2-2019,15.167
5-2-2019,15.516
6-2-2019,14.75
7-2-2019,14.204
8-2-2019,14.618
11-2-2019,14.89
12-2-2019,15.298
13-2-2019,15.134
14-2-2019,15.343
15-2-2019,15.812
19-2-2019,16.17
20-2-2019,15.009
21-2-2019,15.049
22-2-2019,19.773001
25-2-2019,19.761999
26-2-2019,19.549999
27-2-2019,19.5
28-2-2019,19.754
1-3-2019,19.511999
4-3-2019,18.938
5-3-2019,19.122999
6-3-2019,18.635
7-3-2019,18.879999
8-3-2019,19.434999
11-3-2019,20.438
12-3-2019,20.780001
13-3-2019,20.518999
14-3-2019,20.823
15-3-2019,20.700001
18-3-2019,20.375
19-3-2019,20.566999
20-3-2019,20.596001
21-3-2019,21.357
22-3-2019,20.291
25-3-2019,19.704
26-3-2019,18.694
27-3-2019,18.038
28-3-2019,18.650999
29-3-2019,19.795
1-4-2019,20.613001
2-4-2019,20.684
3-4-2019,20.721001
4-4-2019,19.799999
5-4-2019,19.652
8-4-2019,19.75
9-4-2019,19.482
10-4-2019,19.988001
11-4-2019,20.035999
12-4-2019,20.049999
15-4-2019,20.216
16-4-2019,20.326
17-4-2019,19.879
18-4-2019,19.874001
22-4-2019,21.103001
23-4-2019,21.073
24-4-2019,20.778999
25-4-2019,21.475
26-4-2019,21.524
29-4-2019,22.589001
30-4-2019,22.148001
1-5-2019,22.122
2-5-2019,22.516001
3-5-2019,23.195999
6-5-2019,22.559
7-5-2019,21.764999
8-5-2019,22.211
9-5-2019,18.992001
10-5-2019,18.351
13-5-2019,17.676001
14-5-2019,18.525999
15-5-2019,19.988001
16-5-2019,20.204
17-5-2019,19.802
20-5-2019,19.816999
21-5-2019,19.903
22-5-2019,19.889999
23-5-2019,19.528999
24-5-2019,19.59
28-5-2019,20.209
29-5-2019,20.145
30-5-2019,20.188999
31-5-2019,19.881001
3-6-2019,19.742001
4-6-2019,22.291
5-6-2019,23.23
6-6-2019,23.726
7-6-2019,24.504
10-6-2019,24.988001
11-6-2019,24.936001
12-6-2019,24.219999
13-6-2019,24.688
14-6-2019,24.493999
17-6-2019,24.811001
18-6-2019,24.518
19-6-2019,25.129999
20-6-2019,25.108999
21-6-2019,24.134001
24-6-2019,23.429001
25-6-2019,22.688
26-6-2019,22.594999
27-6-2019,23.145
28-6-2019,22.778
1-7-2019,23.377001
2-7-2019,23.421
3-7-2019,23.382999
5-7-2019,23.777
8-7-2019,23.968
9-7-2019,24.117001
10-7-2019,23.943001
11-7-2019,24.079
12-7-2019,24.405001
15-7-2019,24.816
16-7-2019,24.354
17-7-2019,24.417999
18-7-2019,24.156
19-7-2019,23.531
22-7-2019,24.903
23-7-2019,24.542999
24-7-2019,24.837999
25-7-2019,25.521999
26-7-2019,27.855
29-7-2019,26.035999
30-7-2019,26.513
31-7-2019,26.330999
1-8-2019,26.464001
2-8-2019,26.098
5-8-2019,24.978001
6-8-2019,25.187
7-8-2019,25.723
8-8-2019,27.367001
9-8-2019,27.194
12-8-2019,25.507999
13-8-2019,26.464001
14-8-2019,25.039
15-8-2019,24.351999
16-8-2019,24.862
19-8-2019,24.292
20-8-2019,25.011999
21-8-2019,26.011
22-8-2019,25.983999
23-8-2019,24.643
26-8-2019,25.086
27-8-2019,24.611
28-8-2019,24.839001
29-8-2019,25.007
30-8-2019,24.577
3-9-2019,23.497999
4-9-2019,24.018999
5-9-2019,24.371
6-9-2019,23.313
9-9-2019,21.367001
10-9-2019,21.006001
11-9-2019,21.171
12-9-2019,21.389
13-9-2019,20.749001
16-9-2019,21.084999
17-9-2019,21.325001
18-9-2019,20.812
19-9-2019,21.038
20-9-2019,20.705
23-9-2019,20.292
24-9-2019,19.261
25-9-2019,19.458
26-9-2019,19.440001
27-9-2019,18.476
30-9-2019,18.754999
1-10-2019,18.358999
2-10-2019,18.399
3-10-2019,18.959
4-10-2019,18.775
7-10-2019,19.403999
8-10-2019,19.044001
9-10-2019,19.103001
10-10-2019,18.565001
11-10-2019,19.843
14-10-2019,20.129
15-10-2019,21.200001
16-10-2019,19.584
17-10-2019,20.149
18-10-2019,19.481001
21-10-2019,20.084
22-10-2019,18.981001
23-10-2019,19.211
24-10-2019,19.697001
25-10-2019,20.261999
28-10-2019,20.997
29-10-2019,20.731001
30-10-2019,20.966
31-10-2019,20.08
1-11-2019,20.309999
4-11-2019,20.289
5-11-2019,19.952999
6-11-2019,19.441999
7-11-2019,19.275
8-11-2019,19.552999
11-11-2019,21.701
12-11-2019,22.385
13-11-2019,22.885
14-11-2019,22.808001
15-11-2019,22.915001
18-11-2019,23.174999
19-11-2019,23.646999
20-11-2019,24.047001
21-11-2019,24.007
22-11-2019,24.371
25-11-2019,25.688999
26-11-2019,26.33
27-11-2019,26.517
29-11-2019,26.334
2-12-2019,22.739
3-12-2019,23.750999
4-12-2019,24.414
5-12-2019,24.042
6-12-2019,24.735001
9-12-2019,24.948999
10-12-2019,25.007
11-12-2019,25.048
12-12-2019,24.639999
13-12-2019,25.245001
16-12-2019,25.384001
17-12-2019,25.003
18-12-2019,25.312
19-12-2019,26.271
20-12-2019,26.375
23-12-2019,26.865
24-12-2019,26.799999
26-12-2019,27.351
27-12-2019,27.235001
30-12-2019,25.271999
31-12-2019,25.978001
2-1-2020,27.145
3-1-2020,27.191
6-1-2020,27.791
7-1-2020,28.028
8-1-2020,28.52
9-1-2020,28.664
10-1-2020,27.775999
13-1-2020,28.816999
14-1-2020,28.416
15-1-2020,28.48
16-1-2020,28.1
17-1-2020,28.094999
21-1-2020,28.002001
22-1-2020,28.2225
23-1-2020,28.039
24-1-2020,28.017
27-1-2020,27.323
28-1-2020,28.179001
29-1-2020,28.103001
30-1-2020,27.764
31-1-2020,26.917999
3-2-2020,27.402
4-2-2020,30.313
5-2-2020,28.752001
6-2-2020,28.871
7-2-2020,29.132999
10-2-2020,29.811001
11-2-2020,29.639999
12-2-2020,30.479
13-2-2020,30.657
14-2-2020,30.530001
18-2-2020,30.844
19-2-2020,31.542999
20-2-2020,31.145
21-2-2020,30.190001
24-2-2020,28.320999
25-2-2020,27.351
26-2-2020,26.690001
27-2-2020,25.000999
28-2-2020,28.725
2-3-2020,28.811001
3-3-2020,27.767
4-3-2020,27.497
5-3-2020,27.117001
6-3-2020,25.294001
9-3-2020,21.653999
10-3-2020,23.57
11-3-2020,22.393999
12-3-2020,19.264999
13-3-2020,20
16-3-2020,16.049
17-3-2020,17
18-3-2020,14.439
19-3-2020,16.743999
20-3-2020,17
23-3-2020,17.667
24-3-2020,19.4
25-3-2020,19.694
26-3-2020,20.905001
27-3-2020,19.969
30-3-2020,19.750999
31-3-2020,19.299999
1-4-2020,17.23
2-4-2020,16.478001
3-4-2020,16.039
6-4-2020,19.004999
7-4-2020,19.134001
8-4-2020,20.735001
9-4-2020,21.375999
13-4-2020,21.862
14-4-2020,23.341
15-4-2020,22.656
16-4-2020,22.073
17-4-2020,22.851999
20-4-2020,23.299999
21-4-2020,21.615
22-4-2020,24.419001
23-4-2020,25.396999
24-4-2020,25.663
27-4-2020,26.316999
28-4-2020,25.794001
29-4-2020,29.419001
30-4-2020,29.257999
1-5-2020,27.889999
4-5-2020,29.052
5-5-2020,30.364
6-5-2020,31.224001
7-5-2020,32.25
8-5-2020,31.549999
11-5-2020,30.533001
12-5-2020,31.063999
13-5-2020,29.236
14-5-2020,29.73
15-5-2020,30.000999
18-5-2020,29.673
19-5-2020,29.41
20-5-2020,29.710501
21-5-2020,30.441999
22-5-2020,30.76
26-5-2020,29.929001
27-5-2020,29.423
28-5-2020,29.816999
29-5-2020,31.156
1-6-2020,31.031
2-6-2020,31.826
3-6-2020,35.498001
4-6-2020,33.723999
5-6-2020,35.429001
8-6-2020,35.831001
9-6-2020,36.298
10-6-2020,36.852001
11-6-2020,34.754002
12-6-2020,35.451
15-6-2020,37.060001
16-6-2020,37.202999
17-6-2020,38.243999
18-6-2020,39.438999
19-6-2020,39.478001
22-6-2020,40.279999
23-6-2020,41.002998
24-6-2020,39.637001
25-6-2020,40.971001
26-6-2020,40.702999
29-6-2020,40.615002
30-6-2020,40.650002
1-7-2020,42.914001
2-7-2020,44.292999
6-7-2020,44.708
7-7-2020,45.070999
8-7-2020,46.249001
9-7-2020,46.299999
10-7-2020,46.198002
13-7-2020,43.063
14-7-2020,43.203999
15-7-2020,43.637001
16-7-2020,42.910999
17-7-2020,43.303001
20-7-2020,45.764999
21-7-2020,44.408001
22-7-2020,44.332001
23-7-2020,42.438999
24-7-2020,42.606998
27-7-2020,43.216
28-7-2020,41.945999
29-7-2020,42.784
30-7-2020,43.028999
31-7-2020,45.132
3-8-2020,47.532001
4-8-2020,48.111
5-8-2020,49.598999
6-8-2020,48.075001
7-8-2020,49.32
10-8-2020,46.573002
11-8-2020,44.564999
12-8-2020,46.002998
13-8-2020,47.183998
14-8-2020,46.560001
17-8-2020,47.485001
18-8-2020,46.908001
19-8-2020,46.401001
20-8-2020,47.026001
21-8-2020,46.178001
24-8-2020,46.666
25-8-2020,46.990002
26-8-2020,48.104
